no;spbu;coordinate;address;district;city;pr;plg;total;tbbm
34-13901;3413901;S6 12.700 E106 53.409;;;Jakarta;16.1;14.6;30.7;Plumpang
34-13903;3413903;S6 12.275 E106 56.074;;;Jakarta;15.6;17.2;32.8;Plumpang
34-13905;3413905;S6 12.012 E106 57.347;;;Jakarta;18.5;15.9;34.4;Plumpang
34-13906;3413906;S6 10.224 E106 56.579;;;Jakarta;14.6;16.4;31;Plumpang
34-13907;3413907;S6 12.465 E106 57.239;;;Jakarta;16.2;18;34.2;Plumpang
34-13908;3413908;S6 11.389 E106 58.025;;;Jakarta;18.5;15.3;33.8;Plumpang
34-13909;3413909;S6 12.383 E106 55.376;;;Jakarta;15.9;12.9;28.8;Plumpang
34-13910;3413910;S6 11.132 E106 56.884;;;Jakarta;15.7;17.2;32.9;Plumpang
34-13911;3413911;S6 12.178 E106 56.785;;;Jakarta;15.6;21.1;36.7;Plumpang
34-14101;3414101;S6 08.630 E106 55.360;;;Jakarta;8.1;7.8;15.9;Plumpang
34-14103;3414103;S6 07.886 E106 54.882;;;Jakarta;5.8;9.1;14.9;Plumpang
34-14105;3414105;S6 07.946 E106 56.029;;;Jakarta;11.1;12.2;23.3;Plumpang
34-14106;3414106;S6 06.444 E106 57.747;;;Jakarta;15.3;14.2;29.5;Plumpang
34-14107;3414107;S6 08.296 E106 56.128;;;Jakarta;10;13.5;23.5;Plumpang
34-14108;3414108;S6 06.676 E106 56.908;;;Jakarta;13.8;12.7;26.5;Plumpang
34-14109;3414109;S6 06.181 E106 56.214;;;Jakarta;13.4;10.8;24.2;Plumpang
34-14201;3414201;S6 09.516 E106 54.105;;;Jakarta;11.6;4.9;16.5;Plumpang
34-14203;3414203;S6 07.104 E106 55.494;;;Jakarta;4.9;5.8;10.7;Plumpang
34-14204;3414204;S6 09.189 E106 53.187;;;Jakarta;4.7;5.5;10.2;Plumpang
34-14205;3414205;S6 10.005 E106 54.928;;;Jakarta;14.6;6.6;21.2;Plumpang
34-14206;3414206;S6 09.180 E106 54.969;;;Jakarta;13.9;5.6;19.5;Plumpang
34-14207;3414207;S6 07.743 E106 54.480;;;Jakarta;5;8.3;13.3;Plumpang
34-14208;3414208;S6 08.715 E106 53.713;;;Jakarta;12.5;2.8;15.3;Plumpang
34-14209;3414209;S6 08.066 E106 54.957;;;Jakarta;6.9;7.7;14.6;Plumpang
34-14210;3414210;S6 08.812 E106 53.819;;;Jakarta;12;3.2;15.2;Plumpang
34-14301;3414301;S6 08.309 E106 52.033;;;Jakarta;11.9;7.9;19.8;Plumpang
34-14303;3414303;S6 07.845 E106 49.796;;;Jakarta;14.2;10.2;24.4;Plumpang
34-14304;3414304;S6 06.641 E106 53.017;;;Jakarta;7.6;6.8;14.4;Plumpang
34-14305;3414305;S6 09.718 E106 52.533;;;Jakarta;11.4;11.4;22.8;Plumpang
34-14306;3414306;S6 08.782 E106 52.418;;;Jakarta;11.3;7.4;18.7;Plumpang
34-14307;3414307;S6 08.789 E106 53.143;;;Jakarta;10;4.7;14.7;Plumpang
34-14308;3414308;S6 06.608 E106 53.096;;;Jakarta;6.8;6.4;13.2;Plumpang
34-14310;3414310;S6 08.162 E106 53.455;;;Jakarta;7.7;3.4;11.1;Plumpang
34-14401;3414401;S6 07.542 E106 48.082;;;Jakarta;17.9;14;31.9;Plumpang
34-14402;3414402;S6 07.503 E106 49.795;;;Jakarta;15.4;11;26.4;Plumpang
34-14403;3414403;S6 07.488 E106 47.781;;;Jakarta;18.5;15.1;33.6;Plumpang
34-14404;3414404;S6 08.320 E106 45.798;;;Jakarta;24.6;18.7;43.3;Plumpang
34-14405;3414405;S6 06.404 E106 46.505;;;Jakarta;15.9;11.8;27.7;Plumpang
34-14406;3414406;S6 06.404 E106 46.505;;;Jakarta;23.8;19.2;43;Plumpang
34-14407 (Dex);3414407;S6 07.862 E106 47.493;;;Jakarta;19.6;15.7;35.3;Plumpang
34-14408;3414408;S6 08.057 E106 50.081;;;Jakarta;15.3;10;25.3;Plumpang
34-14409;3414409;S6 06.438 E106 43.178;;;Jakarta;36;24.2;60.2;Plumpang
34-14410;3414410;S6 08.056 E106 45.071;;;Jakarta;25.7;24.5;50.2;Plumpang
34-14411;3414411;S6 07.292 E106 43.945;;;Jakarta;33.9;22;55.9;Plumpang
34-14412;3414412;S6 06.431 E106 48.035;;;Jakarta;19.8;15.9;35.7;Plumpang
34-14413;3414413;S6 08.389 E106 50.839;;;Jakarta;14.2;11;25.2;Plumpang
34-14414;3414414;S6 07.819 E106 48.333;;;Jakarta;17.1;14;31.1;Plumpang
34-14415 (dex);3414415;S6 06.376 E106 44.476;;;Jakarta;26.9;22.9;49.8;Plumpang
34-14416;3414416;S6 06.960 E106 47.131;;;Jakarta;21.5;18;39.5;Plumpang
34-15101;3415101;S6 11.521 E106 38.439;;;Jakarta;51.9;48.8;100.7;Plumpang
34-15102;3415102;S6 13.791 E106 43.377;;;Jakarta;36;34.7;70.7;Plumpang
34-15103;3415103;S6 10.257 E106 36.476;;;Jakarta;42.5;50.8;93.3;Plumpang
34-15104;3415104;S6 11.285 E106 35.988;;;Jakarta;56.1;56.8;112.9;Plumpang
34-15106;3415106;S6 13.173 E106 41.266;;;Jakarta;48.4;42.1;90.5;Plumpang
34-15107;3415107;S6 12.946 E106 37.167;;;Jakarta;50.5;46.4;96.9;Plumpang
34-15108;3415108;S6 09.967 E106 38.988;;;Jakarta;37.6;34.6;72.2;Plumpang
34-15109;3415109;S6 12.101 E106 34.406;;;Jakarta;57.7;55.4;113.1;Plumpang
34-15110;3415110;S6 13.946 E106 43.967;;;Jakarta;34.1;35.7;69.8;Plumpang
34-15111;3415111;S6 11.473 E106 40.144;;;Jakarta;55.4;51.4;106.8;Plumpang
34-15113;3415113;S6 11.584 E106 38.229;;;Jakarta;51.8;46.9;98.7;Plumpang
34-15114;3415114;S6 06.988 E106 40.612;;;Jakarta;32;33.4;65.4;Plumpang
34-15115;3415115;S6 09.633 E106 37.979;;;Jakarta;40;37.8;77.8;Plumpang
34-15116;3415116;S6 12.226 E106 43.035;;;Jakarta;34.7;32.1;66.8;Plumpang
34-15117;3415117;S6 13.921 E106 42.141;;;Jakarta;38;35.9;73.9;Plumpang
34-15118;3415118;S6 13.379 E106 41.579;;;Jakarta;48.6;42.4;91;Plumpang
34-15119;3415119;S6 06.876 E106 41.328;;;Jakarta;35;29.1;64.1;Plumpang
34-15120;3415120;S6 14.193 E106 44.570;;;Jakarta;35.8;32.2;68;Plumpang
34-15121;3415121;S6 10.509 E106 35.937;;;Jakarta;62.4;57.3;119.7;Plumpang
34-15122;3415122;S6 11.424 E106 37.447;;;Jakarta;52.8;46.9;99.7;Plumpang
34-15123;3415123;S6 14.003 E106 43.148;;;Jakarta;36;35.4;71.4;Plumpang
34-15124;3415124;#N/A;;;Jakarta;36;36;72;Plumpang
34-15125;3415125;S6 08.707 E106 37.937;;;Jakarta;38.3;37.9;76.2;Plumpang
34-15126;3415126;S6 14.904 E106 42.107;;;Jakarta;42.3;37.9;80.2;Plumpang
34-15127;3415127;S6 10.298 E106 36.590;;;Jakarta;42.3;50.6;92.9;Plumpang
34-15128;3415128;S6 11.364 E106 35.631;;;Jakarta;60.5;55.5;116;Plumpang
34-15129;3415129;S6 10.497 E106 39.161;;;Jakarta;54.6;35;89.6;Plumpang
34-15130;3415130;S6 13.063 E106 37.883;;;Jakarta;54.4;42.7;97.1;Plumpang
34-15131;3415131;S6 08.508 E106 41.133;;;Jakarta;35.6;32.5;68.1;Plumpang
34-15132;3415132;S6 13.441 E106 38.200;;;Jakarta;48.5;42.6;91.1;Plumpang
34-15133;3415133;S6 08.957 E106 35.460;;;Jakarta;46.7;55;101.7;Plumpang
34-15134;3415134;S6 11.094 E106 38.994;;;Jakarta;55.9;48.8;104.7;Plumpang
34-15135;3415135;S6 11.079 E106 37.108;;;Jakarta;54.6;49.2;103.8;Plumpang
34-15136;3415136;S6 13.380 E106 42.316;;;Jakarta;39.1;34.8;73.9;Plumpang
34-15137;3415137;S6 12.821 E106 40.690;;;Jakarta;42.7;43.2;85.9;Plumpang
34-15138;3415138;S6 12.876 E106 40.902;;;Jakarta;47;40.8;87.8;Plumpang
34-15139;3415139;S6 12.547 E106 41.316;;;Jakarta;48.4;42.2;90.6;Plumpang
34-15140;3415140;S6 10.406 E106 40.753;;;Jakarta;35.3;32.3;67.6;Plumpang
34-15141;3415141;S6 14.548 E106 42.756;;;Jakarta;53.8;40.7;94.5;Plumpang
34-15142;3415142;S6 13.541 E106 42.741;;;Jakarta;36.6;35.9;72.5;Plumpang
34-15143;3415143;S6 10.427 E106 37.520;;;Jakarta;54.8;48.4;103.2;Plumpang
34-15144;3415144;S6 09.855 E106 40.568;;;Jakarta;58.3;31.6;89.9;Plumpang
34-15145;3415145;S6 08.929 E106 40.449;;;Jakarta;37.1;34.2;71.3;Plumpang
34-15146;3415146;S6 09.699 E106 38.661;;;Jakarta;55.3;36.4;91.7;Plumpang
34-15147;3415147;S6 11.960 E106 41.800;;;Jakarta;37.1;34.3;71.4;Plumpang
34-15148;3415148;S6 09.334 E106 39.808;;;Jakarta;36.9;35.6;72.5;Plumpang
34-15149;3415149;S6 13.698 E106 43.061;;;Jakarta;56.1;39.1;95.2;Plumpang
34-15150;3415150;S6 13.005 E106 37.891;;;Jakarta;47.2;49.9;97.1;Plumpang
34-15201;3415201;S6 15.678 E106 44.345;;;Jakarta;36.2;35.7;71.9;Plumpang
34-15202;3415202;S6 04.380 E106 39.527;;;Jakarta;43.9;38.6;82.5;Plumpang
34-15204;3415204;S6 16.068 E106 42.393;;;Jakarta;49.4;49.1;98.5;Plumpang
34-15205;3415205;S6 05.654 E106 41.398;;;Jakarta;34.2;32.6;66.8;Plumpang
34-15206;3415206;S6 16.527 E106 41.705;;;Jakarta;50.8;50.2;101;Plumpang
34-15207;3415207;S6 14.676 E106 41.668;;;Jakarta;42.4;38;80.4;Plumpang
34-15208;3415208;S6 16.467 E106 42.390;;;Jakarta;48.5;48.1;96.6;Plumpang
34-15209;3415209;S6 16.344 E106 44.960;;;Jakarta;50.1;40.1;90.2;Plumpang
34-15210;3415210;S6 05.423 E106 42.645;;;Jakarta;38;32.6;70.6;Plumpang
34-15301;3415301;S6 15.676 E106 39.217;;;Jakarta;56.4;45.6;102;Plumpang
34-15302;3415302;S6 15.033 E106 39.005;;;Jakarta;52;51.6;103.6;Plumpang
34-15304;3415304;S6 15.698 E106 45.401;;;Jakarta;34.2;33.6;67.8;Plumpang
34-15305;3415305;S6 17.413 E106 39.932;;;Jakarta;57;54.6;111.6;Plumpang
34-15306;3415306;S6 15.663 E106 36.340;;;Jakarta;55.5;49.1;104.6;Plumpang
34-15307;3415307;S6 20.843 E106 41.450;;;Jakarta;57.3;55.6;112.9;Plumpang
34-15308;3415308;S6 18.880 E106 42.081;;;Jakarta;52.8;51.6;104.4;Plumpang
34-15309;3415309;S6 18.985 E106 40.696;;;Jakarta;53.3;52.3;105.6;Plumpang
34-15310;3415310;S6 19.450 E106 34.771;;;Jakarta;63.5;66.7;130.2;Plumpang
34-15311;3415311;S6 19.300 E106 38.458;;;Jakarta;58.6;58.3;116.9;Plumpang
34-15312;3415312;S6 20.347 E106 40.351;;;Jakarta;57.1;55.4;112.5;Plumpang
34-15314;3415314;S6 19.398 E106 41.008;;;Jakarta;54.2;52.5;106.7;Plumpang
34-15315;3415315;S6 14.432 E106 40.231;;;Jakarta;48.9;40.7;89.6;Plumpang
34-15316;3415316;S6 17.989 E106 40.101;;;Jakarta;53.8;50.5;104.3;Plumpang
34-15317;3415317;S6 18.817 E106 41.535;;;Jakarta;51.8;50.6;102.4;Plumpang
34-15318;3415318;S6 17.666 E106 40.836;;;Jakarta;52.4;50.8;103.2;Plumpang
34-15319;3415319;S6 14.329 E106 39.551;;;Jakarta;48.2;41.3;89.5;Plumpang
34-15320;3415320;S6 13.873 E106 40.880;;;Jakarta;49.1;43.9;93;Plumpang
34-15321;3415321;S6 19.591 E106 36.231;;;Jakarta;63;63.2;126.2;Plumpang
34-15322;3415322;S6 20.624 E106 41.209;;;Jakarta;32.6;38;70.6;Plumpang
34-15401;3415401;S6 19.275 E106 44.743;;;Jakarta;41.5;41;82.5;Plumpang
34-15402;3415402;S6 19.086 E106 46.142;;;Jakarta;40.1;38.3;78.4;Plumpang
34-15403;3415403;S6 20.182 E106 44.395;;;Jakarta;43.6;42.1;85.7;Plumpang
34-15404;3415404;S6 18.643 E106 46.290;;;Jakarta;39.2;37.5;76.7;Plumpang
34-15405;3415405;S6 18.747 E106 45.101;;;Jakarta;41.6;38.3;79.9;Plumpang
34-15406;3415406;S6 18.977 E106 44.478;;;Jakarta;41.6;39.9;81.5;Plumpang
34-15407;3415407;S6 20.902 E106 44.228;;;Jakarta;45.5;43.9;89.4;Plumpang
34-15408;3415408;S6 18.036 E106 43.870;;;Jakarta;47.6;47.8;95.4;Plumpang
34-15409;3415409;S6 21.626 E106 44.915;;;Jakarta;46.4;44.3;90.7;Plumpang
34-15410;3415410;S6 16.857 E106 44.776;;;Jakarta;42.3;41.4;83.7;Plumpang
34-15411;3415411;S6 20.737 E106 45.221;;;Jakarta;43.2;43.2;86.4;Plumpang
34-15412;3415412;S6 18.367 E106 43.123;;;Jakarta;44.8;43.1;87.9;Plumpang
34-15413;3415413;S6 20.758 E106 42.750;;;Jakarta;47.3;45.9;93.2;Plumpang
34-15414;3415414;S6 20.644 E106 45.930;;;Jakarta;43;41.3;84.3;Plumpang
34-15415;3415415;S6 19.621 E106 44.839;;;Jakarta;42.6;40.5;83.1;Plumpang
34-15416;3415416;S6 18.084 E106 45.080;;;Jakarta;39.8;38.2;78;Plumpang
34-15417;3415417;S6 20.677 E106 43.218;;;Jakarta;46.4;45;91.4;Plumpang
34-15418;3415418;S6 20.178 E106 44.940;;;Jakarta;43.7;41.6;85.3;Plumpang
34-15420;3415420;S6 19.333 E106 42.531;;;Jakarta;54.8;53.6;108.4;Plumpang
34-15421;3415421;S6 17.478 E106 43.865;;;Jakarta;48.1;46.5;94.6;Plumpang
34-15423;3415423;S6 18.073 E106 42.890;;;Jakarta;51.8;49.9;101.7;Plumpang
34-15424;3415424;S6 17.157 E106 43.559;;;Jakarta;47.3;45.6;92.9;Plumpang
34-15425;3415425;S6 17.704 E106 42.816;;;Jakarta;58.4;46.6;105;Plumpang
34-15426;3415426;S6 19.310 E106 44.801;;;Jakarta;42.7;39.9;82.6;Plumpang
34-15501;3415501;S6 07.298 E106 34.752;;;Jakarta;62.1;49.4;111.5;Plumpang
34-15502;3415502;S6 10.281 E106 33.436;;;Jakarta;64.9;58;122.9;Plumpang
34-15503;3415503;S6 04.547 E106 32.284;;;Jakarta;63.8;67.8;131.6;Plumpang
34-15504;3415504;S6 02.890 E106 35.930;;;Jakarta;53.7;43.6;97.3;Plumpang
34-15505;3415505;S6 08.715 E106 31.662;;;Jakarta;71;64.1;135.1;Plumpang
34-15506;3415506;S6 10.850 E106 31.767;;;Jakarta;56.7;65.3;122;Plumpang
34-15507;3415507;S6 07.733 E106 35.306;;;Jakarta;48.6;56.9;105.5;Plumpang
34-15508;3415508;S6 06.084 E106 38.307;;;Jakarta;41.3;39.2;80.5;Plumpang
34-15509;3415509;S6 09.217 E106 35.101;;;Jakarta;52.7;47.8;100.5;Plumpang
34-15510;3415510;S6 04.761 E106 25.204;;;Jakarta;83.1;77.8;160.9;Plumpang
34-15511;3415511;S6 05.742 E106 38.288;;;Jakarta;41.9;39.8;81.7;Plumpang
34-15512;3415512;S6 10.348 E106 32.862;;;Jakarta;58.4;62.5;120.9;Plumpang
34-15601;3415601;S6 12.166 E106 27.183;;;Jakarta;60.2;64.1;124.3;Plumpang
34-15605;3415605;S6 12.984 E106 26.590;;;Jakarta;62.1;66;128.1;Plumpang
34-15606;3415606;S6 11.623 E106 25.484;;;Jakarta;133;101;234;Plumpang
34-15607;3415607;S6 11.119 E106 24.474;;;Jakarta;73.9;104;177.9;Plumpang
34-15608;3415608;S6 11.313 E106 27.467;;;Jakarta;59.4;63.1;122.5;Plumpang
34-15701;3415701;S6 13.413 E106 31.691;;;Jakarta;60.4;54.6;115;Plumpang
34-15703;3415703;S6 12.743 E106 23.537;;;Jakarta;70.8;79.9;150.7;Plumpang
34-15704;3415704;S6 15.574 E106 29.138;;;Jakarta;69.1;62.6;131.7;Plumpang
34-15705;3415705;S6 12.081 E106 31.420;;;Jakarta;52.1;55.8;107.9;Plumpang
34-15706;3415706;S6 11.788 E106 28.310;;;Jakarta;57.5;61.1;118.6;Plumpang
34-15708;3415708;S6 13.812 E106 30.065;;;Jakarta;64.4;64.4;128.8;Plumpang
34-15709;3415709;S6 15.323 E106 25.423;;;Jakarta;68.9;78.1;147;Plumpang
34-15710;3415710;S6 15.156 E106 31.236;;;Jakarta;56.5;62.2;118.7;Plumpang
34-15711;3415711;S6 14.516 E106 28.341;;;Jakarta;63.5;73.7;137.2;Plumpang
34-15712;3415712;S6 13.418 E106 32.639;;;Jakarta;58.3;52.6;110.9;Plumpang
34-15713;3415713;S6 17.137 E106 24.907;;;Jakarta;70.8;74.7;145.5;Plumpang
34-15802;3415802;S6 16.320 E106 33.394;;;Jakarta;52.9;57.1;110;Plumpang
34-15804;3415804;S6 15.197 E106 33.662;;;Jakarta;50.8;54.9;105.7;Plumpang
34-15805;3415805;S6 13.064 E106 36.086;;;Jakarta;43.2;47.1;90.3;Plumpang
34-15806;3415806;S6 12.935 E106 33.806;;;Jakarta;47.1;50.5;97.6;Plumpang
34-15807;3415807;S6 14.601 E106 37.594;;;Jakarta;42.6;51.1;93.7;Plumpang
34-15810;3415810;S6 19.106 E106 35.227;;;Jakarta;64.2;67.3;131.5;Plumpang
34-15811;3415811;S6 14.292 E106 35.002;;;Jakarta;46.7;56.2;102.9;Plumpang
34-15813;3415813;S6 16.415 E106 35.892;;;Jakarta;57.1;50.7;107.8;Plumpang
34-15814;3415814;S6 13.720 E106 38.015;;;Jakarta;50.6;45.5;96.1;Plumpang
34-15815;3415815;S6 15.003 E106 37.488;;;Jakarta;53.3;46.4;99.7;Plumpang
34-16102;3416102;S6 34.730 E106 48.397;;;Jakarta;65;57.4;122.4;Plumpang
34-16103;3416103;S6 35.017 E106 46.181;;;Jakarta;65.4;67.5;132.9;Plumpang
34-16104;3416104;S6 33.372 E106 48.976;;;Jakarta;62.5;58.6;121.1;Plumpang
34-16105;3416105;S6 38.403 E106 50.091;;;Jakarta;65.7;66;131.7;Plumpang
34-16106;3416106;S6 34.057 E106 48.265;;;Jakarta;64.5;57.1;121.6;Plumpang
34-16107;3416107;S6 37.129 E106 48.798;;;Jakarta;61.8;66.1;127.9;Plumpang
34-16108;3416108;S6 36.779 E106 48.763;;;Jakarta;60.4;61;121.4;Plumpang
34-16109;3416109;S6 33.955 E106 48.610;;;Jakarta;63.5;55.8;119.3;Plumpang
34-16110;3416110;S6 34.673 E106 45.544;;;Jakarta;66.8;68.9;135.7;Plumpang
34-16111;3416111;S6 37.890 E106 49.499;;;Jakarta;62.9;64.5;127.4;Plumpang
34-16112;3416112;S6 34.373 E106 45.205;;;Jakarta;68.1;66;134.1;Plumpang
34-16113;3416113;S6 34.137 E106 45.974;;;Jakarta;66.4;66.51;132.91;Plumpang
34-16114;3416114;S6 37.229 E106 48.445;;;Jakarta;63.2;67.9;131.1;Plumpang
34-16115;3416115;S6 35.688 E106 47.051;;;Jakarta;63;65.1;128.1;Plumpang
34-16116;3416116;S6 33.592 E106 47.174;;;Jakarta;64.9;58.5;123.4;Plumpang
34-16117;3416117;S6 35.870 E106 46.730;;;Jakarta;63.8;65.8;129.6;Plumpang
34-16119;3416119;S6 32.424 E106 46.318;;;Jakarta;67.1;61.4;128.5;Plumpang
34-16120;3416120;S6 33.414 E106 46.896;;;Jakarta;64.8;60;124.8;Plumpang
34-16121;3416121;S6 36.712 E106 48.112;;;Jakarta;63.6;69.1;132.7;Plumpang
34-16122;3416122;S6 34.385 E106 44.648;;;Jakarta;68.7;70.8;139.5;Plumpang
34-16301;3416301;S6 30.457 E106 45.481;;;Jakarta;64.2;68.2;132.4;Plumpang
34-16302;3416302;S6 23.066 E106 42.307;;;Jakarta;63.7;58.17;121.87;Plumpang
34-16303;3416303;S6 28.811 E106 43.909;;;Jakarta;68.8;72.4;141.2;Plumpang
34-16304;3416304;S6 31.637 E106 45.861;;;Jakarta;68.8;63;131.8;Plumpang
34-16305;3416305;S6 30.830 E106 51.803;;;Jakarta;56.3;50;106.3;Plumpang
34-16306;3416306;S6 25.996 E106 42.659;;;Jakarta;61.1;55.4;116.5;Plumpang
34-16308;3416308;S6 27.582 E106 40.032;;;Jakarta;67;61.4;128.4;Plumpang
34-16309;3416309;S6 29.507 E106 44.480;;;Jakarta;68.8;70.4;139.2;Plumpang
34-16310;3416310;S6 25.797 E106 41.588;;;Jakarta;68.3;67.17;135.47;Plumpang
34-16311;3416311;S6 27.226 E106 43.891;;;Jakarta;61.3;75.5;136.8;Plumpang
34-16312;3416312;S6 23.498 E106 32.522;;;Jakarta;84.2;84.2;168.4;Plumpang
34-16313;3416313;S6 24.280 E106 43.310;;;Jakarta;60.6;55.07;115.67;Plumpang
34-16314;3416314;S6 23.320 E106 37.917;;;Jakarta;65.9;65.9;131.8;Plumpang
34-16315;3416315;S6 24.586 E106 43.580;;;Jakarta;59.7;54.1;113.8;Plumpang
34-16316;3416316;S6 20.784 E106 33.678;;;Jakarta;78.4;78.4;156.8;Plumpang
34-16317;3416317;S6 22.547 E106 40.931;;;Jakarta;61.5;62.47;123.97;Plumpang
34-16318;3416318;S6 24.525 E106 41.781;;;Jakarta;38.4;43.8;82.2;Plumpang
34-16401;3416401;S6 24.335 E106 51.089;;;Jakarta;43.5;38.3;81.8;Plumpang
34-16402;3416402;S6 22.518 E106 49.914;;;Jakarta;42.2;36;78.2;Plumpang
34-16403;3416403;S6 23.782 E106 46.695;;;Jakarta;48.3;48.3;96.6;Plumpang
34-16404;3416404;S6 24.004 E106 49.561;;;Jakarta;45.9;38.8;84.7;Plumpang
34-16405;3416405;S6 25.385 E106 51.401;;;Jakarta;43.7;38.3;82;Plumpang
34-16406;3416406;S6 23.037 E106 49.774;;;Jakarta;44.8;36.1;80.9;Plumpang
34-16407;3416407;S6 23.802 E106 48.331;;;Jakarta;46.9;39.8;86.7;Plumpang
34-16408;3416408;S6 25.935 E106 48.597;;;Jakarta;65.4;59.6;125;Plumpang
34-16409;3416409;S6 23.361 E106 46.103;;;Jakarta;43.2;43.2;86.4;Plumpang
34-16410;3416410;S6 22.850 E106 51.364;;;Jakarta;40.7;34.8;75.5;Plumpang
34-16411;3416411;S6 24.261 E106 49.133;;;Jakarta;45.8;39;84.8;Plumpang
34-16412;3416412;S6 22.439 E106 48.805;;;Jakarta;47;40;87;Plumpang
34-16413;3416413;S6 24.078 E106 48.483;;;Jakarta;46.7;39.6;86.3;Plumpang
34-16414;3416414;S6 26.714 E106 49.763;;;Jakarta;64.2;58.7;122.9;Plumpang
34-16415;3416415;S6 23.552 E106 50.553;;;Jakarta;46.7;42.2;88.9;Plumpang
34-16416;3416416;S6 24.234 E106 50.251;;;Jakarta;46.5;40.4;86.9;Plumpang
34-16417;3416417;S6 22.879 E106 48.505;;;Jakarta;48.7;41.6;90.3;Plumpang
34-16418;3416418;S6 22.373 E106 52.314;;;Jakarta;34;34.3;68.3;Plumpang
34-16419;3416419;S6 23.102 E106 52.958;;;Jakarta;33.3;34.4;67.7;Plumpang
34-16420;3416420;S6 26.347 E106 47.853;;;Jakarta;45.1;48.4;93.5;Plumpang
34-16501;3416501;S6 22.770 E106 44.758;;;Jakarta;58.8;46.4;105.2;Plumpang
34-16503;3416503;S6 19.237 E106 47.024;;;Jakarta;36.11;36.11;72.22;Plumpang
34-16504;3416504;S6 19.089 E106 47.357;;;Jakarta;35.2;35.2;70.4;Plumpang
34-16505;3416505;S6 20.535 E106 46.748;;;Jakarta;38.4;38.4;76.8;Plumpang
34-16506;3416506;S6 24.306 E106 44.730;;;Jakarta;55.5;49.8;105.3;Plumpang
34-16507;3416507;S6 24.920 E106 44.038;;;Jakarta;57.5;51.9;109.4;Plumpang
34-16508;3416508;S6 20.105 E106 47.727;;;Jakarta;39.4;39.4;78.8;Plumpang
34-16509;3416509;S6 23.981 E106 46.322;;;Jakarta;45.5;45.5;91;Plumpang
34-16510;3416510;S6 22.955 E106 47.427;;;Jakarta;44.9;44.9;89.8;Plumpang
34-16511;3416511;S6 24.056 E106 46.290;;;Jakarta;45.69;45.69;91.38;Plumpang
34-16512;3416512;S6 21.991 E106 46.513;;;Jakarta;41.3;41.3;82.6;Plumpang
34-16601;3416601;S6 30.008 E106 29.419;;;Jakarta;110;105.99;215.99;Plumpang
34-16602;3416602;S6 33.501 E106 42.679;;;Jakarta;73.1;75.2;148.3;Plumpang
34-16603;3416603;S6 34.381 E106 37.841;;;Jakarta;110;84.49;194.49;Plumpang
34-16604;3416604;S6 34.586 E106 39.091;;;Jakarta;107;81.69;188.69;Plumpang
34-16605;3416605;S6 34.100 E106 44.289;;;Jakarta;69.6;71.7;141.3;Plumpang
34-16606;3416606;S6 37.617 E106 46.772;;;Jakarta;64.9;74.4;139.3;Plumpang
34-16607;3416607;S6 33.861 E106 40.663;;;Jakarta;77.4;79.5;156.9;Plumpang
34-16608;3416608;S6 34.009 E106 35.874;;;Jakarta;114;88.79;202.79;Plumpang
34-16609;3416609;S6 33.825 E106 33.506;;;Jakarta;119;93.69;212.69;Plumpang
34-16701;3416701;S6 39.084 E106 53.405;;;Jakarta;72.6;66.5;139.1;Plumpang
34-16702;3416702;S6 43.047 E106 49.188;;;Jakarta;72.4;71.3;143.7;Plumpang
34-16703;3416703;S6 39.584 E106 50.735;;;Jakarta;63.9;62.6;126.5;Plumpang
34-16704;3416704;S6 34.581 E106 50.295;;;Jakarta;58.9;60.2;119.1;Plumpang
34-16705;3416705;S6 27.936 E106 49.443;;;Jakarta;61.6;55.7;117.3;Plumpang
34-16706;3416706;S6 39.084 E106 53.110;;;Jakarta;72;65.9;137.9;Plumpang
34-16707;3416707;S6 31.711 E106 50.980;;;Jakarta;55.3;48.3;103.6;Plumpang
34-16708;3416708;S6 38.234 E106 50.620;;;Jakarta;70.8;60.1;130.9;Plumpang
34-16709;3416709;S6 41.607 E106 57.775;;;Jakarta;83.2;77.1;160.3;Plumpang
34-16710;3416710;S6 39.765 E106 51.247;;;Jakarta;70.2;63.5;133.7;Plumpang
34-16711;3416711;S6 39.470 E106 51.453;;;Jakarta;69.3;64.4;133.7;Plumpang
34-16712;3416712;S6 31.262 E106 50.404;;;Jakarta;55.8;50.3;106.1;Plumpang
34-16713;3416713;S6 41.419 E106 50.745;;;Jakarta;67.6;66.3;133.9;Plumpang
34-16714;3416714;S6 42.670 E106 56.740;;;Jakarta;83.2;77.1;160.3;Plumpang
34-16715;3416715;S6 33.196 E106 48.462;;;Jakarta;63;59.1;122.1;Plumpang
34-16716;3416716;S6 33.021 E106 49.283;;;Jakarta;63.4;59.6;123;Plumpang
34-16717;3416717;S6 41.595 E106 50.308;;;Jakarta;68.4;67.2;135.6;Plumpang
34-16718;3416718;S6 45.135 E106 47.958;;;Jakarta;77.8;77.6;155.4;Plumpang
34-16801;3416801;S6 26.886 E106 54.938;;;Jakarta;49.4;42.8;92.2;Plumpang
34-16802;3416802;S6 28.196 E107 04.265;;;Jakarta;58.1;52.5;110.6;Plumpang
34-16803;3416803;S6 28.740 E106 51.822;;;Jakarta;49.4;47.3;96.7;Plumpang
34-16804;3416804;S6 24.177 E106 57.918;;;Jakarta;44.6;38.5;83.1;Plumpang
34-16805;3416805;S6 24.972 E107 01.521;;;Jakarta;51.9;45.7;97.6;Plumpang
