no;spbu;coordinate;address;district;city;pr;plg;total;tbbm
31-40501;3140501;S6 51.357 E107 29.456;;;Jakarta;140;143;283;Plumpang
31-40601;3140601;S6 56.242 E107 41.627;;;Jakarta;173;170;343;Plumpang
31-41101;3141101;S6 36.182 E107 25.566;;;Jakarta;104;186;290;Plumpang
31-41102;3141102;S6 36.205 E107 25.473;;;Jakarta;172;106;278;Plumpang
31-42101 (Dex);3142101;S6 07.139 E106 09.846;;;Jakarta;104;108;212;Plumpang
32-10202;3210202;S6 13.278 E106 48.768;;;Jakarta;29.7;23;52.7;Plumpang
32-12101;3212101;S6 14.273 E106 48.021;;;Jakarta;39;39.6;78.6;Plumpang
32-13201;3213201;S6 12.806 E106 53.488;;;Jakarta;15.9;16.2;32.1;Plumpang
32-14201;3214201;S6 08.774 E106 52.089;;;Jakarta;9.1;7.2;16.3;Plumpang
32-16101;3216101;S6 37.376 E106 48.527;;;Jakarta;62.6;73;135.6;Plumpang
32-16501;3216501;S6 34.042 E106 48.408;;;Jakarta;60.6;59.4;120;Plumpang
32-16701;3216701;S6 33.990 E106 48.411;;;Jakarta;60.6;59.4;120;Plumpang
33-11301;3311301;S6 08.705 E106 46.585;;;Jakarta;20.2;20.2;40.4;Plumpang
33-13401;3313401;S6 14.939 E106 56.482;;;Jakarta;22.8;22.4;45.2;Plumpang
33-14201;3314201;S6 08.914 E106 54.980;;;Jakarta;5.3;4.7;10;Plumpang
33-14401;3314401;S6 07.610 E106 48.200;;;Jakarta;13.1;18.3;31.4;Plumpang
33-15401;3315401;S6 18.319 E106 46.378;;;Jakarta;34;41.1;75.1;Plumpang
33-15422;3315422;S6 19.437 E106 46.036;;;Jakarta;41.9;42.5;84.4;Plumpang
33-16102;3316102;S6 38.430 E106 47.130;;;Jakarta;66.3;72;138.3;Plumpang
33-16901;3316901;S6 26.170 E106 53.591;;;Jakarta;56.4;39.3;95.7;Plumpang
